route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,DU,DU198,Santo Ovídio,1,,DR
D,DU,DU199,Santo Ovídio,1,,DR
D,DU,DU200,Santo Ovídio,1,,DR
D,DU,DU201,Santo Ovídio,1,,DR
D,DU,DU202,Santo Ovídio,1,,DR
D,DU,DU203,Santo Ovídio,1,,DR
D,DU,DU204,Santo Ovídio,1,,DR
D,DU,DU205,Santo Ovídio,1,,DR
D,DU,DU206,Santo Ovídio,1,,DR
D,DU,DU207,Santo Ovídio,1,,DR
D,DU,DU208,Santo Ovídio,1,,DR
D,DU,DU209,Santo Ovídio,1,,DR
D,DU,DU210,Santo Ovídio,1,,DR
D,DU,DU211,Santo Ovídio,1,,DR
D,DU,DU212,Santo Ovídio,1,,DR
D,DU,DU213,Santo Ovídio,1,,DR
D,DU,DU214,Santo Ovídio,1,,DR
D,DU,DU215,Santo Ovídio,1,,DR
D,DU,DU216,Santo Ovídio,1,,DR
D,DU,DU217,Santo Ovídio,1,,DR
D,DU,DU218,Santo Ovídio,1,,DR
D,DU,DU219,Santo Ovídio,1,,DR
D,DU,DU220,Santo Ovídio,1,,DR
D,DU,DU221,Santo Ovídio,1,,DR
D,DU,DU222,Santo Ovídio,1,,DR
D,DU,DU223,Santo Ovídio,1,,DR
D,DU,DU224,Santo Ovídio,1,,DR
D,DU,DU225,Santo Ovídio,1,,DR
D,DU,DU226,Santo Ovídio,1,,DR
D,DU,DU227,Santo Ovídio,1,,DR
D,DU,DU228,Santo Ovídio,1,,DR
D,DU,DU229,Santo Ovídio,1,,DR
D,DU,DU230,Santo Ovídio,1,,DR
D,DU,DU231,Santo Ovídio,1,,DR
D,DU,DU232,Santo Ovídio,1,,DR
D,DU,DU233,Santo Ovídio,1,,DR
D,DU,DU234,Santo Ovídio,1,,DR
D,DU,DU235,Santo Ovídio,1,,DR
D,DU,DU236,Santo Ovídio,1,,DR
D,DU,DU237,Santo Ovídio,1,,DR
D,DU,DU238,Santo Ovídio,1,,DR
D,DU,DU239,Santo Ovídio,1,,DR
D,DU,DU240,Santo Ovídio,1,,DR
D,DU,DU241,Santo Ovídio,1,,DR
D,DU,DU242,Santo Ovídio,1,,DR
D,DU,DU243,Santo Ovídio,1,,DR
D,DU,DU244,Santo Ovídio,1,,DR
D,DU,DU245,Santo Ovídio,1,,DR
D,DU,DU246,Santo Ovídio,1,,DR
D,DU,DU247,Santo Ovídio,1,,DR
D,DU,DU248,Santo Ovídio,1,,DR
D,DU,DU249,Santo Ovídio,1,,DR
D,DU,DU250,Santo Ovídio,1,,DR
D,DU,DU251,Santo Ovídio,1,,DR
D,DU,DU252,Santo Ovídio,1,,DR
